commit	total_ms	correctness	status	description
b3bf005	2105.5	16/16	keep	baseline
88ac1dc	0.0	16/16	discard	np.take with output buf for CX perm (~1% on ghz_23, not worth it)
33a6e8b	1672.9	16/16	keep	vectorize Pauli in stabilizer to_statevector (ghz_23 -91%)
2e3da8f	0.0	12/16	crash	diagonal specialization in batch_1q (hash mismatch)
2ab6cbc	1100.9	16/16	keep	lazy indices + state[::-1] for all-X (ghz_23 -94%)
75a2426	1494.4	16/16	keep	short-circuit 1-pivot pure-X stabilizer (ghz_23 -99%)
b7e446a	841.6	16/16	keep	single-copy swap + np.take for CX perm
3cb4cde	858.8	16/16	keep	batch consecutive CZ with phase mask
67c4864	1490.1	16/16	keep	walrus n_qubits + skip noise check (~noise)
6a31ac5	669.9	16/16	keep	kron phase fusion for diagonal 1Q gates (diag_20 -37%)
8001f78	740.7	16/16	keep	fuse diagonal 1Q + CZ across block boundaries (diag_20 -32%)
